,landmark,address,tags,score,읍면동,SUM_GRGS_DSAMT
286,빌레못동굴,제주특별자치도 제주시 애월읍 어음리 1391,"#4.3 #문화유적지 #부모
#커플 #혼자 #친구 #아이 #청년 #중/장년 #노년 #자연경관 #문화관광 #제주4.3 #역사유적 #어린이",2,애월읍,0.05497161398125474
287,장전리 벚꽃축제길,제주특별자치도 제주시 애월읍 광상로 403,"#걷기/등산 #경관/포토 #커플
#맑음 #봄 #봄꽃 #도보여행 #도보 #포토스팟 #어트랙션 #벚꽃",-3,애월읍,0.05497161398125474
288,애월 한담 카약,제주 제주시 애월읍 애월로1길 25,"#해수욕장 #액티비티 #커플
#맑음 #여름 #체험 #레저/체험 #해변 #물놀이 #수상레저 #어트랙션",8,애월읍,0.05497161398125474
289,곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,"#야영장 #캠핑장 #해수욕장
#액티비티 #아이 #맑음 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저 #캠핑 #언택트 #어트랙션",9,애월읍,0.05497161398125474
290,쉼터마을 유수암리 농어촌체험마을,제주특별자치도 제주시 애월읍 유수암평화길 14,"#체험관광 #아이 #흐림
#사계절 #체험 #마을산책 #마을관광 #어린이 #어트랙션",3,애월읍,0.05497161398125474
291,제주빅볼랜드,제주특별자치도 제주시 애월읍 산록서로 15,"#액티비티 #아이 #맑음
#가을 #체험 #레저/체험 #어린이 #어트랙션",4,애월읍,0.05497161398125474
292,제주올레 16코스,제주특별자치도 제주시 애월읍 고내리 1111-2,"#올레 #걷기/등산 #친구
#혼자 #가을 #자연경관 #도보여행 #도보",-3,애월읍,0.05497161398125474
293,화조원,제주특별자치도 제주시 애월읍 애원로 804,"#아이 #동물 #체험
#실내관광지 #어린이 #어트랙션 #어린이동물농장",2,애월읍,0.05497161398125474
294,9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,"#어린이 #레이싱 #서바이벌
#실내놀이터 #가족 #애월 #테마파크 #액티비티 #실내관광지 #체험 #레저/체험 #테마공원 #어트랙션",8,애월읍,0.05497161398125474
295,"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,"#오름 #걷기/등산 #맑음
#봄 #자연경관 #도보여행 #도보",-3,애월읍,0.05497161398125474
296,납읍난대림 금산공원,제주특별자치도 제주시 애월읍 납읍리 14 57,"#걷기/등산 #흐림 #여름
#자연경관",0,애월읍,0.05497161398125474
297,도치돌 알파카목장,제주특별자치도 제주시 애월읍 도치돌길 293,"#아이 #커플 #맑음
#흐림 #휴식/힐링 #체험관광 #사계절 #자연경관 #체험 #어린이 #어트랙션",1,애월읍,0.05497161398125474
298,수산저수지,제주특별자치도 제주시 애월읍 수산리 1,"#경관/포토 #휴식/힐링 #자연경관
#포토스팟",-4,애월읍,0.05497161398125474
299,아르떼뮤지엄,제주특별자치도 제주시 애월읍 어림비로 478,"#커플 #혼자 #친구
#테마공원 #미술/박물관 #전시와행사 #실내관광지 #문화관광 #어트랙션",2,애월읍,0.05497161398125474
300,애월 하물,제주특별자치도 제주시 애월읍 애월로11길 6,"#사계절 #아이 #용천수
#자연경관 #어린이",-1,애월읍,0.05497161398125474
301,제주승마공원,제주특별자치도 제주시 애월읍 녹고메길 152-1,"#승마 #액티비티 #친구
#커플 #체험 #레저/체험 #어트랙션",5,애월읍,0.05497161398125474
302,"천아오름(틍낭오름,天娥岳)",제주특별자치도 제주시 애월읍 산록서로 678-207,"#오름 #걷기/등산 #친구
#아이 #흐림 #자연경관 #도보여행 #도보 #어린이",-3,애월읍,0.05497161398125474
303,큰바리메오름,제주특별자치도 제주시 애월읍 산록서로 15,"#오름 #사계절 #청년
#휴식/힐링 #친구 #커플 #혼자 #자연경관 #도보여행 #도보",-5,애월읍,0.05497161398125474
304,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,"#해수욕장 #액티비티 #친구
#커플 #맑음 #체험 #레저/체험 #해변 #물놀이 #수상레저 #어트랙션",8,애월읍,0.05497161398125474
305,SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,"#부모 #커플 #혼자
#친구 #아이 #사계절 #실내관광지 #문화관광 #어린이 #어트랙션",2,애월읍,0.05497161398125474
306,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,"#오름 #걷기/등산 #맑음
#자연경관 #도보여행 #도보",-3,애월읍,0.05497161398125474
307,갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,"#경관/포토 #테마공원 #커플
#친구 #아이 #도보여행 #도보 #포토스팟 #어린이",-3,애월읍,0.05497161398125474
308,고내리 다락쉼터,제주특별자치도 제주시 애월읍 애월해안로 284,#쉼터 #공원 #해안도로,0,애월읍,0.05497161398125474
309,고마워토토 아뜰리에,제주특별자치도 제주시 애월읍 고성북길 112,"#커피 #쿠킹체험 #쿠키
#라자냐 #치킨 #음식 #크림파스타 #파스타",0,애월읍,0.05497161398125474
310,고사리숲,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 내 창업보육센터 본관 315호,"#체험관광 #아이 #화장품
#자연경관 #체험 #숲 #어린이",0,애월읍,0.05497161398125474
311,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,"#문화유적지 #자연경관 #문화관광
#역사유적",2,애월읍,0.05497161398125474
312,광령귤나무,제주특별자치도 제주시 애월읍 광령8길 24-2,#겨울 #자연경관,-1,애월읍,0.05497161398125474
313,구엄포구,제주특별자치도 제주시 애월읍 구엄리,"#포구 #해변 #문화유적지
#맑음 #자연경관 #역사유적",2,애월읍,0.05497161398125474
314,금덕무환자나무및팽나무군락,제주특별자치도 제주시 애월읍 유수암리 1920,"#문화유적지 #자연경관 #문화관광
#역사유적",2,애월읍,0.05497161398125474
315,금성포구,제주특별자치도 제주시 애월읍 금성리 573-1,"#포구 #해변 #문화유적지
#자연경관 #역사유적",2,애월읍,0.05497161398125474
316,기독교순례길 1코스(순종의길),제주특별자치도 제주시 애월읍 금성하안길 3,"#걷기/등산 #흐림 #봄
#가을 #문화관광 #도보여행 #도보 #어트랙션",1,애월읍,0.05497161398125474
317,남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,"#부모 #아이 #문화유적지
#문화관광 #역사유적 #어린이",3,애월읍,0.05497161398125474
318,동귀방파제,제주특별자치도 제주시 애월읍 하귀리,"#여름 #일몰 #해변
#낚시 #자연경관 #어트랙션",1,애월읍,0.05497161398125474
319,멍멍플레이스,제주특별자치도 제주시 애월읍 소길남길 244-5,"#반려견 #카페 #음식
#어트랙션",1,애월읍,0.05497161398125474
320,무수천,제주특별자치도 제주시 애월읍 무수천길,"#계곡 #휴식/힐링 #여름
#자연경관 #물놀이",0,애월읍,0.05497161398125474
321,송악산,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,"#일몰 #일출 #산
#해변 #걷기/등산 #친구 #커플 #맑음 #가을 #자연경관 #수국",1,대정읍,0.052888123636587715
322,마라도(마라해양도립공원),제주특별자치도 서귀포시 대정읍 마라로101번길 46,"#섬속의섬 #휴식/힐링 #부모
#아이 #맑음 #가을 #자연경관 #어린이",-2,대정읍,0.052888123636587715
323,가파도,제주특별자치도 서귀포시 대정읍 가파리,"#섬속의섬 #경관/포토 #휴식/힐링
#친구 #커플 #맑음 #봄 #자연경관 #포토스팟 #언택트",-5,대정읍,0.052888123636587715
324,노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,"#경관/포토 #테마공원 #커플
#맑음 #봄 #자연경관 #포토스팟 #매화",-2,대정읍,0.052888123636587715
325,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1618,"#부모 #커플 #혼자
#친구 #아이 #오름 #4.3 #자연경관 #제주4.3 #역사유적 #도보여행 #도보 #어린이",-3,대정읍,0.052888123636587715
326,모슬포항,제주특별자치도 서귀포시 대정읍 신영로36번길 48,"#커플 #친구 #맑음
#해변",1,대정읍,0.052888123636587715
327,알뜨르비행장,제주특별자치도 서귀포시 대정읍 상모리 1670,"#문화유적지 #친구 #커플
#흐림 #봄 #자연경관 #문화관광 #역사유적",2,대정읍,0.052888123636587715
328,제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,"#숲길 #걷기/등산 #커플
#흐림 #자연경관 #도보여행 #도보 #곶자왈 #숲 #어트랙션",-3,대정읍,0.052888123636587715
329,제주올레 10코스,제주특별자치도 서귀포시 대정읍 상모리 산 2-27,"#올레 #걷기/등산 #친구
#혼자 #봄 #가을 #자연경관 #도보여행 #도보",-3,대정읍,0.052888123636587715
330,마라도성당,제주특별자치도 서귀포시 대정읍 마라로 153,"#실내 #휴식/힐링 #부모
#가을 #어트랙션",-1,대정읍,0.052888123636587715
331,곶자왈,제주특별자치도 서귀포시 대정읍 신평리,"#숲길 #걷기/등산 #친구
#흐림 #봄 #가을 #자연경관 #도보여행 #도보 #곶자왈 #숲",-4,대정읍,0.052888123636587715
332,초콜릿박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,"#실내 #미술/박물관 #아이
#비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션",0,대정읍,0.052888123636587715
333,우포토 시네마 갤러리 카페,제주특별자치도 서귀포시 대정읍 상모로 216-2,#휴식/힐링 #어트랙션 #카페,0,대정읍,0.052888123636587715
334,마라도등대,제주특별자치도 서귀포시 대정읍 가파리 642,#등대 #경관/포토 #포토스팟,-2,대정읍,0.052888123636587715
335,무릉곶자왈,제주특별자치도 서귀포시 대정읍 무릉리 산 1,"#숲길 #걷기/등산 #흐림
#가을 #자연경관 #도보여행 #도보 #곶자왈 #숲 #언택트",-5,대정읍,0.052888123636587715
336,제주추사관,제주특별자치도 서귀포시 대정읍 추사로 44,"#미술/박물관 #흐림 #겨울
#실내관광지 #어트랙션",0,대정읍,0.052888123636587715
337,형제해안도로,제주특별자치도 서귀포시 대정읍 상모리 1649-1,"#해변 #드라이브 #맑음
#가을",0,대정읍,0.052888123636587715
338,대한민국최남단기념비/ 마라도 기념비,제주특별자치도 서귀포시 대정읍 마라로 131,"#경관/포토 #부모 #커플
#혼자 #친구 #아이 #마라도 #포토스팟 #어린이 #어트랙션",-1,대정읍,0.052888123636587715
339,송악산 진지동굴,제주특별자치도 서귀포시 대정읍 상모리,"#부모 #커플 #혼자
#친구 #아이 #문화유적지 #동굴 #자연경관 #문화관광 #역사유적 #어린이",3,대정읍,0.052888123636587715
340,고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,"#일몰 #해변 #드라이브
#커플 #맑음",-1,대정읍,0.052888123636587715
341,노을해안로,제주특별자치도 서귀포시 대정읍 노을해안로 24,"#일몰 #해변 #걷기/등산
#혼자 #가을 #자연경관",0,대정읍,0.052888123636587715
342,대정해변(하모해변),제주특별자치도 서귀포시 대정읍 하모리,"#커플 #친구 #아이
#맑음 #해변 #자연경관 #어린이",0,대정읍,0.052888123636587715
343,마라도관광쉼터,제주특별자치도 서귀포시 대정읍 마라로 139,#부모 #어트랙션,1,대정읍,0.052888123636587715
344,제주올레 11코스,제주특별자치도 서귀포시 대정읍 동일리 3168,"#올레 #걷기/등산 #친구
#혼자 #봄 #가을 #자연경관 #도보여행 #도보",-3,대정읍,0.052888123636587715
345,추사적거지,제주특별자치도 서귀포시 대정읍 추사로 44,"#친구 #아이 #문화유적지
#문화관광 #역사유적 #어린이 #어트랙션",4,대정읍,0.052888123636587715
346,M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,"#체험관광 #경관/포토 #휴식/힐링
#체험 #포토스팟 #waterleisure #수상레저 #어트랙션",2,대정읍,0.052888123636587715
347,가파도 마라도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,#아름다운섬나라 #어트랙션,1,대정읍,0.052888123636587715
348,동일리포구,제주특별자치도 서귀포시 대정읍 동일리,"#포구 #해변 #문화유적지
#자연경관 #역사유적",2,대정읍,0.052888123636587715
349,모슬봉(모슬개오름),제주특별자치도 서귀포시 대정읍 상모로191번길,"#부모 #커플 #혼자
#친구 #아이 #맑음 #오름 #자연경관 #도보여행 #도보 #어린이",-4,대정읍,0.052888123636587715
350,발자국화석공원,제주특별자치도 서귀포시 대정읍 형제해안로 192,"#부모 #커플 #아이
#경관/포토 #문화유적지 #사계절",0,대정읍,0.052888123636587715
351,신도포구,제주특별자치도 서귀포시 대정읍 신도리,"#포구 #해변 #문화유적지
#자연경관 #역사유적",2,대정읍,0.052888123636587715
352,제주올레 12코스,제주특별자치도 서귀포시 대정읍 신도리 2883-2,"#올레 #걷기/등산 #친구
#혼자 #봄 #가을 #자연경관 #도보여행 #도보",-3,대정읍,0.052888123636587715
353,케이제주씨워킹,제주특별자치도 서귀포시 대정읍 최남단해안로 120,"#해수욕장 #액티비티 #친구
#커플 #맑음 #여름 #체험 #레저/체험 #해변 #물놀이 #어트랙션",7,대정읍,0.052888123636587715
354,9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",4,대정읍,0.052888123636587715
355,가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,"#경관/포토 #맑음 #사계절
#포토스팟 #어트랙션",-1,대정읍,0.052888123636587715
356,강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,"#실내 #문화유적지 #가을
#문화관광 #역사유적 #어트랙션",3,대정읍,0.052888123636587715
357,기독교순례길 4코스(화해의길),제주특별자치도 서귀포시 대정읍 추사로36번길 11,"#걷기/등산 #흐림 #봄
#가을 #문화관광 #도보여행 #도보 #어트랙션",1,대정읍,0.052888123636587715
358,남문지못,제주특별자치도 서귀포시 대정읍 인성리 392,"#문화유적지 #자연경관 #문화관광
#역사유적",2,대정읍,0.052888123636587715
359,대정면 4.3사건 위령비,제주특별자치도 서귀포시 대정읍 동일하모로 158-3,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",4,대정읍,0.052888123636587715
360,대정현역사자료전시관,제주특별자치도 서귀포시 대정읍 상모대서로 17,"#친구 #아이 #문화공간
#전시관 #실내관광지 #문화관광 #어린이 #어트랙션",1,대정읍,0.052888123636587715
361,동계 정온 유허비,제주특별자치도 서귀포시 대정읍 안성리,"#문화유적지 #문화관광 #역사유적
#어트랙션",4,대정읍,0.052888123636587715
362,동알오름,제주특별자치도 서귀포시 대정읍 상모리 153,"#일몰 #오름 #걷기/등산
#자연경관 #도보여행 #도보",-4,대정읍,0.052888123636587715
363,마라도 섬투어,제주특별자치도 서귀포시 대정읍 마라로 65,"#겨울 #마라도 #자연경관
#체험 #도보 #도보여행 #언택트 #포토스팟 #섬속의섬 #어트랙션",-3,대정읍,0.052888123636587715
364,마라도기원정사,제주특별자치도 서귀포시 대정읍 마라로 87,"#문화유적지 #문화관광 #역사유적
#어트랙션",4,대정읍,0.052888123636587715
365,외돌개,제주특별자치도 서귀포시 서홍동 791,"#일출 #해변 #경관/포토
#휴식/힐링 #맑음 #가을 #자연경관 #포토스팟",-2,서홍동,0.050540366627601654
366,황우지해안,제주특별자치도 서귀포시 서홍동 766-1,"#해변 #경관/포토 #액티비티
#친구 #커플 #맑음 #여름 #자연경관 #체험 #레저/체험 #포토스팟 #수상레저 #어트랙션",3,서홍동,0.050540366627601654
367,새연교,제주특별자치도 서귀포시 서홍동 707-4,"#밤 #경관/포토 #커플
#맑음 #포토스팟",-2,서홍동,0.050540366627601654
368,제주올레 7코스,제주특별자치도 서귀포시 서홍동 795-1,"#올레 #걷기/등산 #친구
#여름 #자연경관 #도보여행 #도보",-3,서홍동,0.050540366627601654
369,서귀포칠십리시공원,제주특별자치도 서귀포시 서홍동 576-9,"#휴식/힐링 #커플 #맑음
#봄 #매화",-1,서홍동,0.050540366627601654
370,황우지해안 열두굴,제주특별자치도 서귀포시 서홍동 764-1,"#문화유적지 #해변 #커플
#친구 #맑음 #자연경관 #역사유적",2,서홍동,0.050540366627601654
371,들렁모루 산책길,제주특별자치도 서귀포시 서홍동 2437,"#걷기/등산 #흐림 #맑음
#가을 #자연경관 #도보여행 #도보",-2,서홍동,0.050540366627601654
372,신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,"#일몰 #드라이브 #커플
#맑음 #가을 #자연경관",-3,한경면,0.03490604653495736
373,차귀도,제주특별자치도 제주시 한경면 고산리 125,"#커플 #맑음 #문화유적지
#일몰 #차귀도 #수월봉 #자연경관 #역사유적 #언택트 #단풍",-1,한경면,0.03490604653495736
374,제주유리의성,제주특별자치도 제주시 한경면 녹차분재로 462,"#테마공원 #커플 #흐림
#가을 #우수관광사업체 #실내관광지 #어트랙션 #안전여행스탬프",3,한경면,0.03490604653495736
375,수월봉 지질트레일,제주특별자치도 제주시 한경면 노을해안로 1013-70,"#지질트레일 #걷기/등산 #친구
#맑음 #가을 #자연경관 #언택트 #유네스코",0,한경면,0.03490604653495736
376,환상숲 곶자왈공원,제주특별자치도 제주시 한경면 녹차분재로 594-1,"#웰니스 #자연 #숲
#치유 #걷기/등산 #커플 #자연경관 #곶자왈 #안전여행스탬프",-1,한경면,0.03490604653495736
377,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675,"#휴식/힐링 #테마공원 #커플
#아이 #흐림 #가을 #어린이 #어트랙션 #안전여행스탬프",2,한경면,0.03490604653495736
378,제주현대미술관,제주특별자치도 제주시 한경면 저지14길 35,"#예술 #실내 #미술/박물관
#커플 #흐림 #겨울 #실내관광지 #미술관 #문화관광 #어트랙션 #포토스팟 #제주명품42 #제주7대건축물",-2,한경면,0.03490604653495736
379,"당산봉(당오름,차귀오름)",제주특별자치도 제주시 한경면 고산리 산 15,"#오름 #걷기/등산 #가을
#자연경관 #도보여행 #도보",-3,한경면,0.03490604653495736
380,수월봉,제주특별자치도 제주시 한경면 고산리 3760,"#부모 #커플 #혼자
#친구 #아이 #맑음 #가을 #경관/포토 #일몰 #휴식/힐링 #자연경관 #포토스팟 #어린이 #언택트 #유네스코",-6,한경면,0.03490604653495736
381,판포포구,제주특별자치도 제주시 한경면 판포리 2877-3,"#포구 #해변 #문화유적지
#친구 #아이 #여름 #자연경관 #역사유적 #어린이",2,한경면,0.03490604653495736
382,신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,"#커플 #경관/포토 #해안도로
#커플스냅 #포토스팟 #드라이브",-3,한경면,0.03490604653495736
383,제주도립김창열미술관,제주특별자치도 제주시 한경면 용금로 883-5,"#미술/박물관 #저지예술인마을 #저지리
#예술 #실내관광지 #문화관광 #미술관 #어트랙션",-1,한경면,0.03490604653495736
384,신창리포구,제주특별자치도 제주시 한경면 신창리,"#포구 #해변 #문화유적지
#커플 #자연경관 #역사유적",2,한경면,0.03490604653495736
385,저지 예술인 마을,제주특별자치도 제주시 한경면 저지14길 28-4,"#예술 #체험관광 #커플
#흐림 #가을 #문화관광 #마을산책 #마을관광 #어트랙션",2,한경면,0.03490604653495736
386,청수곶자왈,제주특별자치도 제주시 한경면 대한로 1036,"#커플 #친구 #맑음
#여름 #밤 #숲길 #걷기 #도보여행 #도보 #곶자왈 #숲",-5,한경면,0.03490604653495736
387,순례자의교회,제주특별자치도 제주시 한경면 일주서로 3960-24,#휴식/힐링 #가을 #어트랙션,0,한경면,0.03490604653495736
388,"저지오름(닥몰오름,새오름)",제주특별자치도 제주시 한경면 저지리 산 51,"#일몰 #오름 #걷기/등산
#자연경관 #도보여행 #도보",-4,한경면,0.03490604653495736
389,생이기정,제주특별자치도 제주시 한경면 용수리 산 60,"#일몰 #해변 #걷기/등산
#맑음 #가을 #자연경관",0,한경면,0.03490604653495736
390,싱계물 공원,제주 제주시 한경면 신창리 1322-1,#싱계물공원 #자연경관,-1,한경면,0.03490604653495736
391,엉알해안,제주특별자치도 제주시 한경면 고산리 3427-33,"#해변 #경관/포토 #커플
#맑음 #여름 #자연경관 #포토스팟",-2,한경면,0.03490604653495736
392,엉알해안산책로,제주특별자치도 제주시 한경면 노을해안로 1143,"#일몰 #해변 #걷기/등산
#커플 #맑음 #가을 #자연경관",0,한경면,0.03490604653495736
393,자구내포구,제주특별자치도 제주시 한경면 고산리,"#부모 #커플 #혼자
#아이 #친구 #맑음 #휴식/힐링 #경관/포토 #문화유적지 #포구 #역사유적 #포토스팟 #어린이",-1,한경면,0.03490604653495736
394,당오름(한경면),제주특별자치도 제주시 한경면 용수리 산 18,"#오름 #걷기/등산 #맑음
#가을 #자연경관 #도보여행 #도보",-3,한경면,0.03490604653495736
395,동산농원 딸기체험장,제주특별자치도 제주시 한경면 저지리 1448-2,"#친구 #아이 #커플
#실내 #체험관광 #체험 #어린이 #어트랙션",2,한경면,0.03490604653495736
396,라온골프클럽,제주특별자치도 제주시 한경면 용금로 998,"#커플 #친구 #액티비티
#골프 #체험 #레저/체험 #어트랙션",5,한경면,0.03490604653495736
397,방림원,제주특별자치도 제주시 한경면 용금로 864,"#휴식/힐링 #우수관광사업체 #자연경관
#안전여행스탬프",-1,한경면,0.03490604653495736
398,노을해안1014,제주특별자치도 제주시 한경면 노을해안로 1014,"#액티비티 #체험관광 #체험
#레저/체험 #어트랙션",5,한경면,0.03490604653495736
399,성김대건신부표착기념관,제주특별자치도 제주시 한경면 용수1길 108,"#실내 #미술/박물관 #사계절
#실내관광지 #문화관광 #어트랙션",0,한경면,0.03490604653495736
400,용수항,제주특별자치도 제주시 한경면 용수리,"#문화유적지 #일몰 #해변
#혼자 #친구 #커플 #올레 #역사유적",1,한경면,0.03490604653495736
401,절부암,제주특별자치도 제주시 한경면 용수3길 22,"#해변 #걷기/등산 #맑음
#자연경관",1,한경면,0.03490604653495736
402,제주올레 13코스,제주특별자치도 제주시 한경면 조수리 2137-2,"#올레 #걷기/등산 #친구
#혼자 #봄 #자연경관 #도보여행 #도보",-3,한경면,0.03490604653495736
403,차귀도요트,제주특별자치도 제주시 한경면 한경해안로 156 2층,"#요트 #액티비티 #부모
#맑음 #체험 #레저/체험 #어트랙션",4,한경면,0.03490604653495736
404,차귀도유람선,제주특별자치도 제주시 한경면 노을해안로 1163 차귀도유람선,"#차귀도 #유람선 #둘레길
#차귀도유람선 #섬여행 #자연경관 #체험 #도보여행 #도보 #어트랙션",0,한경면,0.03490604653495736
405,추사 유배길 - 2코스 인연의 길,제주특별자치도 제주시 한경면 낙수로 228-9,"#걷기/등산 #봄 #가을
#문화관광 #도보여행 #도보 #어트랙션",1,한경면,0.03490604653495736
406,"판포오름(널개오름, 板浦岳)",제주특별자치도 제주시 한경면 판포리 934,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",-3,한경면,0.03490604653495736
407,해거름전망대,제주특별자치도 제주시 한경면 일주서로 4641,"#경관/포토 #맑음 #포토스팟
#어트랙션",-1,한경면,0.03490604653495736
408,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",-3,한경면,0.03490604653495736
409,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,"#친구 #아이 #문화유적지
#동굴 #오름 #문화관광 #역사유적 #도보여행 #도보 #어린이 #어트랙션",2,한경면,0.03490604653495736
410,기독교순례길 3코스(사명의길),제주특별자치도 제주시 한경면 조수3길 7,"#걷기 #봄 #가을
#문화관광 #도보여행 #도보 #어트랙션",-1,한경면,0.03490604653495736
411,낙천아홉굿마을 의자공원,제주특별자치도 제주시 한경면 낙수로 97,"#부모 #커플 #혼자
#친구 #아이 #맑음 #흐림 #경관/포토 #휴식/힐링 #테마공원 #체험관광 #사계절 #청년 #중/장년 #노년 #휴식/치유 #체험 #마을산책 #마을관광 #포토스팟 #어린이 #언택트 #어트랙션",-1,한경면,0.03490604653495736
412,마오름(한경),제주특별자치도 제주시 한경면 저지리 산 56,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",-3,한경면,0.03490604653495736
413,휴애리 자연생활공원,"제주특별자치도 서귀포시 남원읍 신례동로 256 (신례리, 휴애리)","#휴식/힐링 #아이 #맑음
#봄 #우수관광사업체 #자연경관 #어린이 #동백 #매화 #수국 #안전여행스탬프",-2,남원읍,0.04755460223082161
414,제주동백수목원,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 15,"#경관/포토 #커플 #겨울
#제주동백수목원 #자연경관 #동백 #포토스팟",-3,남원읍,0.04755460223082161
415,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,"#해변 #경관/포토 #맑음
#여름 #자연경관 #포토스팟",-2,남원읍,0.04755460223082161
416,코코몽 에코파크,제주특별자치도 서귀포시 남원읍 태위로 536,"#테마공원 #아이 #가을
#실내관광지 #어린이 #어트랙션",2,남원읍,0.04755460223082161
417,성널오름(성판악),제주특별자치도 서귀포시 남원읍 신례리,"#오름 #걷기/등산 #봄
#자연경관 #도보여행 #도보 #한라산 #언택트",-3,남원읍,0.04755460223082161
418,사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,"#오름 #걷기/등산 #커플
#겨울 #자연경관 #도보여행 #도보 #한라산 #언택트",-3,남원읍,0.04755460223082161
419,위미리 동백나무군락,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7,"#경관/포토 #커플 #아이
#맑음 #겨울 #자연경관 #동백 #포토스팟 #어린이",-4,남원읍,0.04755460223082161
420,물영아리오름,제주특별자치도 서귀포시 남원읍 남조로 988-11,"#일출 #오름 #걷기/등산
#흐림 #여름 #자연경관 #도보여행 #도보 #언택트",-3,남원읍,0.04755460223082161
421,가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,"#체험관광 #아이 #겨울
#감귤 #자연경관 #어린이 #어트랙션",1,남원읍,0.04755460223082161
422,공천포,제주특별자치도 서귀포시 남원읍 신례리,"#해변 #문화유적지 #친구
#여름 #자연경관 #역사유적",2,남원읍,0.04755460223082161
423,위미항,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,"#해변 #여자 #남자
#맑음 #언택트",0,남원읍,0.04755460223082161
424,제주올레 5코스,제주특별자치도 서귀포시 남원읍 남태해안로 140,"#올레 #걷기/등산 #친구
#혼자 #맑음 #여름 #자연경관 #도보여행 #도보",-3,남원읍,0.04755460223082161
425,이승이오름(이승악),제주특별자치도 서귀포시 남원읍 신례리 산 12-19,"#오름 #자연경관 #도보여행
#도보",-4,남원읍,0.04755460223082161
426,제주올레 4코스,제주특별자치도 서귀포시 남원읍 태흥리 200-2,"#올레 #걷기/등산 #친구
#가을 #자연경관 #도보여행 #도보",-3,남원읍,0.04755460223082161
427,사려니오름,제주특별자치도 서귀포시 남원읍 516로 1648-87,"#오름 #걷기/등산 #커플
#흐림 #봄 #자연경관 #도보여행 #도보 #단풍",-3,남원읍,0.04755460223082161
428,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,"#드라이브 #맑음 #자연경관
#숲 #단풍 #제주명품42 #포토스팟 #제주7대도로",-3,남원읍,0.04755460223082161
429,공천포구,제주특별자치도 서귀포시 남원읍 신례리,"#커플 #친구 #경관/포토
#해변 #부모 #혼자 #아이 #맑음 #자연경관 #포토스팟 #어린이",-2,남원읍,0.04755460223082161
430,태흥포구,제주특별자치도 서귀포시 남원읍 태흥리,"#부모 #커플 #혼자
#친구 #휴식/힐링 #해변 #자연경관",-1,남원읍,0.04755460223082161
431,머체왓숲길,제주특별자치도 서귀포시 남원읍 서성로 755,"#웰니스 #자연 #숲
#치유 #숲길 #걷기 #커플 #자연경관 #도보여행 #도보 #언택트",-8,남원읍,0.04755460223082161
432,"자배봉(자배오름,망오름)",제주특별자치도 서귀포시 남원읍 태위로360번길 18,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",-3,남원읍,0.04755460223082161
